Date,Country,Infected_Population_Percentages,Vaccinated_Percentage,Deaths_Infected_Percentage
2021-11-09,Romania,8.9855002454023385,69.847371664614158,2.9954163723595264
2021-11-10,Romania,9.018389596028225,70.221581478491075,3.0079703562341704
2021-11-11,Romania,9.0467044462888833,70.65068006875029,3.0169327561367587
2021-11-12,Romania,9.0720288803107856,71.160028465416673,3.0262027330506887
2021-11-13,Romania,9.0929722499829051,71.647424488330373,3.0378035086872
2021-11-14,Romania,9.10876603924388,,3.0459093246643523
2021-11-15,Romania,9.1199330481354544,72.542787523816159,3.0533580977276378
2021-11-16,Romania,9.1415142338584978,73.057489392909957,3.0688540565765816
2021-11-17,Romania,9.15999521533402,73.565055041434,3.0826384065320362
2021-11-18,Romania,9.1760765446179526,74.029055762479814,3.0961514466615654
2021-11-19,Romania,9.191180237823831,74.501714052216855,3.1070470539251041
2021-11-20,Romania,9.205280154949568,74.917099597381238,3.1144417341326074
2021-11-21,Romania,9.215401563757661,75.218938201480029,3.1178855631215958
2020-02-26,Brazil,4.6730404227669761e-07,,
2020-02-27,Brazil,4.6730404227669761e-07,,
2020-02-28,Brazil,4.6730404227669761e-07,,
2020-02-29,Brazil,9.3460808455339523e-07,,
2020-03-01,Brazil,9.3460808455339523e-07,,
2020-03-02,Brazil,9.3460808455339523e-07,,
2020-03-03,Brazil,9.3460808455339523e-07,,
2020-03-04,Brazil,1.8692161691067905e-06,,
2020-03-05,Brazil,1.8692161691067905e-06,,
2020-03-06,Brazil,6.0749525495970684e-06,,
2020-03-07,Brazil,6.0749525495970684e-06,,
2020-03-08,Brazil,9.3460808455339518e-06,,
2020-03-09,Brazil,1.1682601056917441e-05,,
2020-03-10,Brazil,1.4486425310577626e-05,,
2020-03-11,Brazil,1.7757553606514512e-05,,
2020-03-12,Brazil,2.4299810198388274e-05,,
2020-03-13,Brazil,7.0562910383781334e-05,,
2020-03-14,Brazil,7.0562910383781334e-05,,
2020-03-15,Brazil,7.5703254848825016e-05,,
2020-03-16,Brazil,9.3460808455339528e-05,,
2020-03-17,Brazil,0.00015000459757081994,,0.3115264797507788
2020-03-18,Brazil,0.00017383710372693151,,0.80645161290322576
2020-03-19,Brazil,0.00029019581025382924,,0.966183574879227
2020-03-20,Brazil,0.00037057210552542119,,1.3871374527112232
2020-03-21,Brazil,0.00047711742716450829,,1.4691478942213516
2020-03-22,Brazil,0.00072245204935977446,,1.6170763260025873
2020-03-23,Brazil,0.00089909297734036629,,1.7671517671517671
2020-03-24,Brazil,0.0010500321829957397,,2.0471740097908322
2020-03-25,Brazil,0.0011934945239746857,,2.3101018010963195
2020-03-26,Brazil,0.0013949025661959425,,2.579564489112228
2020-03-27,Brazil,0.0015967779124594758,,2.6924202516827629
2020-03-28,Brazil,0.0018243549810482275,,2.8432377049180326
2020-03-29,Brazil,0.0019888460039296251,,3.1954887218045109
2020-03-30,Brazil,0.0021397852095849982,,3.4723738807599913
2020-03-31,Brazil,0.0026715772096958805,,3.5158299807591393
2020-04-01,Brazil,0.0031944904330035049,,3.5108250438853128
2020-04-02,Brazil,0.0037589937160737558,,4.0278468423669818
2020-04-03,Brazil,0.0042319054068577742,,3.9642226148409891
2020-04-04,Brazil,0.0048412698779865876,,4.2953667953667951
2020-04-05,Brazil,0.0052010939905396446,,4.3665768194070083
2020-04-06,Brazil,0.00568288445812692,,4.6377764986432037
2020-04-07,Brazil,0.0065581449293111741,,4.888128829984324
2020-04-08,Brazil,0.0075563063636142009,,5.0649350649350655
2020-04-09,Brazil,0.008454464732870013,,5.2509396418306427
2020-04-10,Brazil,0.0091769167822297881,,5.3824218352174356
2020-04-11,Brazil,0.00968581088426911,,5.4228783712066386
2020-04-12,Brazil,0.010370411306204473,,5.5109949531362652
2020-04-13,Brazil,0.010948933710543025,,5.66794707639778
2020-04-14,Brazil,0.011805034715993935,,6.0644446203784339
